rede;ensino;taxa_aprovacao;indicador_rendimento
estadual;fundamental;76.3;0.76363516
estadual;fundamental;85.5;0.8637526
estadual;medio;70.5;0.74770844
municipal;fundamental;73.2;0.74056429
municipal;fundamental;78.1;0.79595274
privada;fundamental;94,5;0,94499314
privada;fundamental;97,1;0,96771181
privada;medio;92.7;0.93306619
publica;fundamental;75;0.7531327
publica;fundamental;80;0.8126955
publica;medio;70.6;0.75061554
total;fundamental;77;0.77200317
total;fundamental;81.6;0.82790065
total;medio;73.2;0.77185434
estadual;fundamental;78.7;0.78712749
estadual;fundamental;88;0.88676101
estadual;medio;71.6;0.75774837
municipal;fundamental;77.6;0.78328747
municipal;fundamental;83.5;0.84223449
privada;fundamental;95,1;0,95048928
privada;fundamental;97,4;0,97679126
privada;medio;93.8;0.94451666
publica;fundamental;78.2;0.78493315
publica;fundamental;84.6;0.85293877
publica;medio;71.8;0.76064807
total;fundamental;79.8;0.79953277
total;fundamental;85.8;0.86409569
total;medio;74.1;0.77840269
estadual;fundamental;80.5;0.80492073
estadual;fundamental;91.1;0.91612029
estadual;medio;73.5;0.77534807
municipal;fundamental;78.6;0.79244006
municipal;fundamental;86.2;0.86498582
privada;fundamental;94,6;0,94573557
privada;fundamental;97,6;0,97619575
privada;medio;93.3;0.93223619
publica;fundamental;79.7;0.79860902
publica;fundamental;87.3;0.87621081
publica;medio;73.7;0.77792972
total;fundamental;81.3;0.81525874
total;fundamental;88.5;0.88815516
total;medio;75.9;0.79530185
estadual;fundamental;82.3;0.82303166
estadual;fundamental;93.1;0.93342704
estadual;medio;75;0.78303599
municipal;fundamental;81.1;0.81706738
municipal;fundamental;89.4;0.89507347
privada;fundamental;94,5;0,94449234
privada;fundamental;97,7;0,97719741
privada;medio;93.4;0.93998158
publica;fundamental;81.8;0.81979972
publica;fundamental;90.2;0.90286142
publica;medio;75.2;0.78483742
total;fundamental;83.4;0.83493716
total;fundamental;91.2;0.91280907
total;medio;77.4;0.80223972
estadual;fundamental;85.1;0.85141498
estadual;fundamental;94.7;0.94902277
estadual;medio;78;0.80565822
municipal;fundamental;82;0.82483315
municipal;fundamental;91.1;0.91136158
privada;fundamental;94,6;0,94623923
privada;fundamental;97,8;0,97839648
privada;medio;93.8;0.92813331
publica;fundamental;83.7;0.83804858
publica;fundamental;91.8;0.91841561
publica;medio;78.1;0.80798024
total;fundamental;85.1;0.85222369
total;fundamental;92.7;0.92787218
total;medio;80.1;0.82332313
estadual;fundamental;85.3;0.85259575
estadual;fundamental;94.8;0.94988275
estadual;medio;79.7;0.81642801
municipal;fundamental;82.8;0.83238059
municipal;fundamental;91.6;0.91695869
privada;fundamental;95,3;0,95324093
privada;fundamental;98,1;0,98099756
privada;medio;94.5;0.94761264
publica;fundamental;84.1;0.84192783
publica;fundamental;92.2;0.92282218
publica;medio;79.8;0.81974769
total;fundamental;85.7;0.8579182
total;fundamental;93.2;0.93234324
total;medio;81.7;0.83433729
estadual;fundamental;86.8;0.86815858
estadual;fundamental;95.6;0.95722812
estadual;medio;81.2;0.82060015
municipal;fundamental;84.2;0.84629679
municipal;fundamental;92.5;0.92569715
privada;fundamental;96,5;0,96499377
privada;fundamental;98,6;0,98539811
privada;medio;95.7;0.95509303
publica;fundamental;85.5;0.85661644
publica;fundamental;93;0.93110186
publica;medio;81.4;0.82526267
total;fundamental;87.1;0.87279677
total;fundamental;94;0.94016182
total;medio;83.1;0.83888757
estadual;fundamental;90;0.89995557
estadual;fundamental;96.3;0.96400458
estadual;medio;84.5;0.85342127
municipal;fundamental;87.3;0.87671322
municipal;fundamental;93.9;0.93969482
privada;fundamental;97,1;0,97149771
privada;fundamental;98,8;0,98839897
privada;medio;96.4;0.96670187
publica;fundamental;88.6;0.88778669
publica;fundamental;94.3;0.94359839
publica;medio;84.7;0.85902554
total;fundamental;89.9;0.90043128
total;fundamental;95.1;0.95172346
total;medio;86.1;0.87076688
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
